SCHOOL_DISTRICT,SCHOOL_NAME,SYS_SCH,2014,2015,2016,2017
Richmond County,Pine Hill Middle School,Richmond County – Pine Hill Middle School,297,661,461,701
Richmond County,W.S. Hornsby K-8 School,Richmond County – W.S. Hornsby K-8 School,736,1097,1169,1350
Richmond County,Lamar - Milledge Elementary School,Richmond County – Lamar - Milledge Elementary School,11,57,29,54
Richmond County,Meadowbrook Elementary School,Richmond County – Meadowbrook Elementary School,394,463,350,454
Richmond County,Morgan Road Middle School,Richmond County – Morgan Road Middle School,167,251,443,396
Richmond County,Jamestown Elementary School,Richmond County – Jamestown Elementary School,59,50,67,101
Richmond County,Collins Elementary School,Richmond County – Collins Elementary School,287,,,
Richmond County,Goshen Elementary School,Richmond County – Goshen Elementary School,22,72,88,148
Richmond County,Glenn Hills Middle School,Richmond County – Glenn Hills Middle School,737,609,1225,891
Richmond County,Sue Reynolds Elementary School,Richmond County – Sue Reynolds Elementary School,90,76,299,664
Richmond County,Diamond Lakes Elementary School,Richmond County – Diamond Lakes Elementary School,95,108,216,469
Richmond County,Richmond County Technical Career Magnet School,Richmond County – Richmond County Technical Career Magnet School,15,91,228,226
Richmond County,Willis Foreman Elementary School,Richmond County – Willis Foreman Elementary School,18,111,295,214
Richmond County,Tobacco Road Elementary School,Richmond County – Tobacco Road Elementary School,99,180,378,150
Richmond County,McBean Elementary School,Richmond County – McBean Elementary School,71,73,54,84
Richmond County,Lake Forest Hills Elementary School,Richmond County – Lake Forest Hills Elementary School,16,,68,239
Richmond County,Jenkins-White Elementary Charter School,Richmond County – Jenkins-White Elementary Charter School,57,89,454,592
Richmond County,Spirit Creek Middle School,Richmond County – Spirit Creek Middle School,688,708,737,1607
Richmond County,Butler High School,Richmond County – Butler High School,882,1118,2027,1094
Richmond County,Garrett Elementary School,Richmond County – Garrett Elementary School,14,15,153,209
Richmond County,Langford Middle School,Richmond County – Langford Middle School,1277,1699,1383,1521
Richmond County,National Hills Elementary School,Richmond County – National Hills Elementary School,21,17,,
Richmond County,Rollins Elementary School,Richmond County – Rollins Elementary School,38,65,86,221
Richmond County,Walker Traditional Elementary School,Richmond County – Walker Traditional Elementary School,130,172,81,86
Richmond County,Windsor Spring Road Elementary School,Richmond County – Windsor Spring Road Elementary School,240,330,115,270
Richmond County,Hephzibah Middle School,Richmond County – Hephzibah Middle School,510,397,710,570
Richmond County,Barton Chapel Elementary School,Richmond County – Barton Chapel Elementary School,198,308,270,181
Richmond County,Copeland Elementary School,Richmond County – Copeland Elementary School,190,156,73,218
Richmond County,Glenn Hills Elementary School,Richmond County – Glenn Hills Elementary School,282,266,427,332
Richmond County,Hephzibah High School,Richmond County – Hephzibah High School,1154,934,1078,1457
Richmond County,Merry Elementary School,Richmond County – Merry Elementary School,135,173,101,55
Richmond County,Warren Road Elementary School,Richmond County – Warren Road Elementary School,84,119,,71
Richmond County,Westside High School,Richmond County – Westside High School,796,949,1268,931
Richmond County,Bayvale Elementary School,Richmond County – Bayvale Elementary School,76,99,112,251
Richmond County,Glenn Hills High School,Richmond County – Glenn Hills High School,789,1269,1342,754
Richmond County,Sego Middle School,Richmond County – Sego Middle School,1204,1336,1029,603
Richmond County,Johnson Magnet,Richmond County – Johnson Magnet,79,154,166,125
Richmond County,Josey High School,Richmond County – Josey High School,507,374,1601,1269
Richmond County,Gracewood Elementary School,Richmond County – Gracewood Elementary School,36,39,41,89
Richmond County,Monte Sano Elementary School,Richmond County – Monte Sano Elementary School,182,117,30,100
Richmond County,Academy of Richmond County High School,Richmond County – Academy of Richmond County High School,1042,1586,1858,1603
Richmond County,Southside Elementary School,Richmond County – Southside Elementary School,241,323,303,345
Richmond County,Wheeless Road Elementary School,Richmond County – Wheeless Road Elementary School,182,221,495,385
Richmond County,Davidson Magnet School,Richmond County – Davidson Magnet School,731,491,23,
Richmond County,Terrace Manor Elementary School,Richmond County – Terrace Manor Elementary School,69,68,89,319
Richmond County,Murphey Middle Charter School,Richmond County – Murphey Middle Charter School,962,1044,1891,1668
Richmond County,Tutt Middle School,Richmond County – Tutt Middle School,462,533,746,826
Richmond County,Laney High School,Richmond County – Laney High School,385,497,377,904
Rockdale County,Peek's Chapel Elementary,Rockdale County – Peek's Chapel Elementary,302,402,496,227
Rockdale County,General Ray Davis Middle School,Rockdale County – General Ray Davis Middle School,416,559,363,408
Rockdale County,Hicks Elementary School,Rockdale County – Hicks Elementary School,74,157,165,57
Rockdale County,Honey Creek Elementary School,Rockdale County – Honey Creek Elementary School,44,34,62,51
Rockdale County,Heritage High School,Rockdale County – Heritage High School,745,737,717,452
Rockdale County,Barksdale Elementary School,Rockdale County – Barksdale Elementary School,114,46,60,33
Rockdale County,Sims Elementary School,Rockdale County – Sims Elementary School,110,31,21,
Rockdale County,Salem High School,Rockdale County – Salem High School,777,299,256,291
Rockdale County,Shoal Creek Elementary School,Rockdale County – Shoal Creek Elementary School,90,35,21,55
Rockdale County,Lorraine Elementary School,Rockdale County – Lorraine Elementary School,138,46,35,44
Rockdale County,Conyers Middle School,Rockdale County – Conyers Middle School,686,772,619,1028
Rockdale County,Hightower Trail Elementary School,Rockdale County – Hightower Trail Elementary School,161,186,64,
Rockdale County,Memorial Middle School,Rockdale County – Memorial Middle School,432,478,516,460
Rockdale County,Edwards Middle School,Rockdale County – Edwards Middle School,295,291,314,304
Rockdale County,Flat Shoals Elementary School,Rockdale County – Flat Shoals Elementary School,158,133,198,22
Rockdale County,Pine Street Elementary School,Rockdale County – Pine Street Elementary School,223,360,318,180
Rockdale County,Rockdale County High School,Rockdale County – Rockdale County High School,691,779,1058,995
Rockdale County,House Elementary School,Rockdale County – House Elementary School,37,25,31,47
Schley County,Schley Middle High School,Schley County – Schley Middle High School,336,334,195,273
Schley County,Schley County Elementary School,Schley County – Schley County Elementary School,206,293,268,181
Screven County,Screven County Elementary School,Screven County – Screven County Elementary School,1092,870,788,877
Screven County,Screven County Middle School,Screven County – Screven County Middle School,742,779,612,741
Screven County,Screven County High School,Screven County – Screven County High School,1296,1517,1509,880
Seminole County,Seminole County Middle/High School,Seminole County – Seminole County Middle/High School,1293,1156,1040,818
Seminole County,Seminole County Elementary School,Seminole County – Seminole County Elementary School,355,271,450,295
Spalding County,Spalding High School,Spalding County – Spalding High School,983,657,616,475
Spalding County,Moreland Road Elementary,Spalding County – Moreland Road Elementary,126,88,85,102
Spalding County,Carver Road Middle School,Spalding County – Carver Road Middle School,508,493,376,279
Spalding County,Kennedy Road Middle School,Spalding County – Kennedy Road Middle School,988,917,843,599
Spalding County,Rehoboth Road Middle School,Spalding County – Rehoboth Road Middle School,491,518,517,444
Spalding County,Griffin High School,Spalding County – Griffin High School,1380,1044,829,841
Spalding County,Cowan Road Elementary School,Spalding County – Cowan Road Elementary School,132,82,105,97
Spalding County,Jordan Hill Road Elementary School,Spalding County – Jordan Hill Road Elementary School,71,89,97,53
Spalding County,Futral Road Elementary School,Spalding County – Futral Road Elementary School,120,88,138,94
Spalding County,Cowan Road Middle School,Spalding County – Cowan Road Middle School,580,787,973,852
Spalding County,AZ Kelsey Academy,Spalding County – AZ Kelsey Academy,24,17,25,28
Spalding County,Anne Street Elementary School,Spalding County – Anne Street Elementary School,43,90,159,209
Spalding County,Jackson Road Elementary School,Spalding County – Jackson Road Elementary School,84,56,13,72
Spalding County,Atkinson Elementary School,Spalding County – Atkinson Elementary School,76,128,161,159
Spalding County,Beaverbrook Elementary School,Spalding County – Beaverbrook Elementary School,272,214,52,44
Spalding County,Crescent Road Elementary School,Spalding County – Crescent Road Elementary School,22,22,17,37
Spalding County,Moore Elementary School,Spalding County – Moore Elementary School,147,105,82,58
Spalding County,Orrs Elementary School,Spalding County – Orrs Elementary School,150,66,82,73
Stephens County,Stephens County Middle School,Stephens County – Stephens County Middle School,371,310,462,719
