SCHOOL_DISTRICT,SCHOOL_NAME,ENROLLMENT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_STATEMENT
Floyd County,All Schools,8952,Floyd County's enrollment is in the 80th percentile of all Georgia school systems.,936,10.5,Floyd County's percentage of students with discipline incidents is in the 20th percentile of all Georgia school systems.,1745,Floyd County's total number of discipline incidents is in the 61st percentile of all Georgia school systems.,0.195,Floyd County's incidents per student rate is in the 18th percentile of all Georgia school systems.
Forsyth County,All Schools,40461,Forsyth County's enrollment is in the 96th percentile of all Georgia school systems.,2145,5.3,Forsyth County's percentage of students with discipline incidents is in the 7th percentile of all Georgia school systems.,4110,Forsyth County's total number of discipline incidents is in the 82nd percentile of all Georgia school systems.,0.102,Forsyth County's incidents per student rate is in the 7th percentile of all Georgia school systems.
Franklin County,All Schools,2712,Franklin County's enrollment is in the 44th percentile of all Georgia school systems.,223,8.2,Franklin County's percentage of students with discipline incidents is in the 11th percentile of all Georgia school systems.,356,Franklin County's total number of discipline incidents is in the 20th percentile of all Georgia school systems.,0.131,Franklin County's incidents per student rate is in the 10th percentile of all Georgia school systems.
Fulton County,All Schools,101803,Fulton County's enrollment is in the 98th percentile of all Georgia school systems.,10583,10.4,Fulton County's percentage of students with discipline incidents is in the 19th percentile of all Georgia school systems.,22333,Fulton County's total number of discipline incidents is in the 98th percentile of all Georgia school systems.,0.219,Fulton County's incidents per student rate is in the 24th percentile of all Georgia school systems.
Gainesville City,All Schools,8729,Gainesville City's enrollment is in the 79th percentile of all Georgia school systems.,1079,12.4,Gainesville City's percentage of students with discipline incidents is in the 31st percentile of all Georgia school systems.,2426,Gainesville City's total number of discipline incidents is in the 71st percentile of all Georgia school systems.,0.278,Gainesville City's incidents per student rate is in the 36th percentile of all Georgia school systems.
Gilmer County,All Schools,4608,Gilmer County's enrollment is in the 65th percentile of all Georgia school systems.,345,7.5,Gilmer County's percentage of students with discipline incidents is in the 9th percentile of all Georgia school systems.,616,Gilmer County's total number of discipline incidents is in the 32nd percentile of all Georgia school systems.,0.134,Gilmer County's incidents per student rate is in the 11th percentile of all Georgia school systems.
Glascock County,All Schools,621,Glascock County's enrollment is in the 10th percentile of all Georgia school systems.,154,24.8,Glascock County's percentage of students with discipline incidents is in the 88th percentile of all Georgia school systems.,385,Glascock County's total number of discipline incidents is in the 23rd percentile of all Georgia school systems.,0.62,Glascock County's incidents per student rate is in the 84th percentile of all Georgia school systems.
Glynn County,All Schools,14745,Glynn County's enrollment is in the 87th percentile of all Georgia school systems.,2334,15.8,Glynn County's percentage of students with discipline incidents is in the 53rd percentile of all Georgia school systems.,6410,Glynn County's total number of discipline incidents is in the 90th percentile of all Georgia school systems.,0.435,Glynn County's incidents per student rate is in the 64th percentile of all Georgia school systems.
Gordon County,All Schools,6645,Gordon County's enrollment is in the 73rd percentile of all Georgia school systems.,994,15,Gordon County's percentage of students with discipline incidents is in the 49th percentile of all Georgia school systems.,2615,Gordon County's total number of discipline incidents is in the 73rd percentile of all Georgia school systems.,0.394,Gordon County's incidents per student rate is in the 56th percentile of all Georgia school systems.
Grady County,All Schools,5053,Grady County's enrollment is in the 68th percentile of all Georgia school systems.,919,18.2,Grady County's percentage of students with discipline incidents is in the 66th percentile of all Georgia school systems.,2417,Grady County's total number of discipline incidents is in the 71st percentile of all Georgia school systems.,0.478,Grady County's incidents per student rate is in the 69th percentile of all Georgia school systems.
Greene County,All Schools,1842,Greene County's enrollment is in the 32nd percentile of all Georgia school systems.,243,13.2,Greene County's percentage of students with discipline incidents is in the 38th percentile of all Georgia school systems.,568,Greene County's total number of discipline incidents is in the 30th percentile of all Georgia school systems.,0.308,Greene County's incidents per student rate is in the 45th percentile of all Georgia school systems.
Gwinnett County,All Schools,191577,Gwinnett County's enrollment is in the 100th percentile of all Georgia school systems.,20989,11,Gwinnett County's percentage of students with discipline incidents is in the 22nd percentile of all Georgia school systems.,49195,Gwinnett County's total number of discipline incidents is in the 100th percentile of all Georgia school systems.,0.257,Gwinnett County's incidents per student rate is in the 31st percentile of all Georgia school systems.
Habersham County,All Schools,5691,Habersham County's enrollment is in the 70th percentile of all Georgia school systems.,734,12.9,Habersham County's percentage of students with discipline incidents is in the 37th percentile of all Georgia school systems.,1461,Habersham County's total number of discipline incidents is in the 56th percentile of all Georgia school systems.,0.257,Habersham County's incidents per student rate is in the 31st percentile of all Georgia school systems.
Hall County,All Schools,28258,Hall County's enrollment is in the 93rd percentile of all Georgia school systems.,3799,13.4,Hall County's percentage of students with discipline incidents is in the 40th percentile of all Georgia school systems.,7902,Hall County's total number of discipline incidents is in the 91st percentile of all Georgia school systems.,0.28,Hall County's incidents per student rate is in the 38th percentile of all Georgia school systems.
Hancock County,All Schools,945,Hancock County's enrollment is in the 16th percentile of all Georgia school systems.,202,21.4,Hancock County's percentage of students with discipline incidents is in the 78th percentile of all Georgia school systems.,429,Hancock County's total number of discipline incidents is in the 25th percentile of all Georgia school systems.,0.454,Hancock County's incidents per student rate is in the 66th percentile of all Georgia school systems.
Haralson County,All Schools,3337,Haralson County's enrollment is in the 51st percentile of all Georgia school systems.,371,11.1,Haralson County's percentage of students with discipline incidents is in the 23rd percentile of all Georgia school systems.,722,Haralson County's total number of discipline incidents is in the 37th percentile of all Georgia school systems.,0.216,Haralson County's incidents per student rate is in the 23rd percentile of all Georgia school systems.
Harris County,All Schools,3944,Harris County's enrollment is in the 60th percentile of all Georgia school systems.,694,17.6,Harris County's percentage of students with discipline incidents is in the 63rd percentile of all Georgia school systems.,1648,Harris County's total number of discipline incidents is in the 60th percentile of all Georgia school systems.,0.418,Harris County's incidents per student rate is in the 62nd percentile of all Georgia school systems.
Hart County,All Schools,3715,Hart County's enrollment is in the 57th percentile of all Georgia school systems.,468,12.6,Hart County's percentage of students with discipline incidents is in the 34th percentile of all Georgia school systems.,1127,Hart County's total number of discipline incidents is in the 50th percentile of all Georgia school systems.,0.303,Hart County's incidents per student rate is in the 43rd percentile of all Georgia school systems.
Heard County,All Schools,1886,Heard County's enrollment is in the 34th percentile of all Georgia school systems.,295,15.6,Heard County's percentage of students with discipline incidents is in the 53rd percentile of all Georgia school systems.,673,Heard County's total number of discipline incidents is in the 34th percentile of all Georgia school systems.,0.357,Heard County's incidents per student rate is in the 54th percentile of all Georgia school systems.
Henry County,All Schools,46940,Henry County's enrollment is in the 97th percentile of all Georgia school systems.,8950,19.1,Henry County's percentage of students with discipline incidents is in the 70th percentile of all Georgia school systems.,21058,Henry County's total number of discipline incidents is in the 97th percentile of all Georgia school systems.,0.449,Henry County's incidents per student rate is in the 66th percentile of all Georgia school systems.
