SYS_SCH,ENROLLMENT,ENROLLMENT_PCT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_PCT,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_PCT,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_PCT,INCIDENTS_PER_STUDENT_STATEMENT
Richmond County – Gracewood Elementary School,585,26,Gracewood Elementary School's enrollment is in the 26th percentile of all Georgia schools.,43,7.4,36,Gracewood Elementary School's percentage of students with discipline incidents is in the 36th percentile of all Georgia schools.,89,34,Gracewood Elementary School's total number of discipline incidents is in the 34th percentile of all Georgia schools.,0.152,39,Gracewood Elementary School's incidents per student rate is in the 39th percentile of all Georgia schools.
Richmond County – Monte Sano Elementary School,425,9,Monte Sano Elementary School's enrollment is in the 9th percentile of all Georgia schools.,48,11.3,50,Monte Sano Elementary School's percentage of students with discipline incidents is in the 50th percentile of all Georgia schools.,100,37,Monte Sano Elementary School's total number of discipline incidents is in the 37th percentile of all Georgia schools.,0.235,51,Monte Sano Elementary School's incidents per student rate is in the 51st percentile of all Georgia schools.
Richmond County – Academy of Richmond County High School,1500,90,Academy of Richmond County High School's enrollment is in the 90th percentile of all Georgia schools.,567,37.8,96,Academy of Richmond County High School's percentage of students with discipline incidents is in the 96th percentile of all Georgia schools.,1603,99,Academy of Richmond County High School's total number of discipline incidents is in the 99th percentile of all Georgia schools.,1.069,95,Academy of Richmond County High School's incidents per student rate is in the 95th percentile of all Georgia schools.
Richmond County – Southside Elementary School,507,17,Southside Elementary School's enrollment is in the 17th percentile of all Georgia schools.,107,21.1,75,Southside Elementary School's percentage of students with discipline incidents is in the 75th percentile of all Georgia schools.,345,70,Southside Elementary School's total number of discipline incidents is in the 70th percentile of all Georgia schools.,0.68,86,Southside Elementary School's incidents per student rate is in the 86th percentile of all Georgia schools.
Richmond County – Wheeless Road Elementary School,613,28,Wheeless Road Elementary School's enrollment is in the 28th percentile of all Georgia schools.,141,23,79,Wheeless Road Elementary School's percentage of students with discipline incidents is in the 79th percentile of all Georgia schools.,385,73,Wheeless Road Elementary School's total number of discipline incidents is in the 73rd percentile of all Georgia schools.,0.628,84,Wheeless Road Elementary School's incidents per student rate is in the 84th percentile of all Georgia schools.
Richmond County – Terrace Manor Elementary School,440,11,Terrace Manor Elementary School's enrollment is in the 11th percentile of all Georgia schools.,104,23.6,81,Terrace Manor Elementary School's percentage of students with discipline incidents is in the 81st percentile of all Georgia schools.,319,68,Terrace Manor Elementary School's total number of discipline incidents is in the 68th percentile of all Georgia schools.,0.725,88,Terrace Manor Elementary School's incidents per student rate is in the 88th percentile of all Georgia schools.
Richmond County – Hains Elementary School,752,46,Hains Elementary School's enrollment is in the 46th percentile of all Georgia schools.,150,19.9,73,Hains Elementary School's percentage of students with discipline incidents is in the 73rd percentile of all Georgia schools.,312,68,Hains Elementary School's total number of discipline incidents is in the 68th percentile of all Georgia schools.,0.415,70,Hains Elementary School's incidents per student rate is in the 70th percentile of all Georgia schools.
Richmond County – Murphey Middle Charter School,758,47,Murphey Middle Charter School's enrollment is in the 47th percentile of all Georgia schools.,441,58.2,100,Murphey Middle Charter School's percentage of students with discipline incidents is in the 100th percentile of all Georgia schools.,1668,99,Murphey Middle Charter School's total number of discipline incidents is in the 99th percentile of all Georgia schools.,2.201,100,Murphey Middle Charter School's incidents per student rate is in the 100th percentile of all Georgia schools.
Richmond County – Tutt Middle School,545,21,Tutt Middle School's enrollment is in the 21st percentile of all Georgia schools.,230,42.2,98,Tutt Middle School's percentage of students with discipline incidents is in the 98th percentile of all Georgia schools.,826,90,Tutt Middle School's total number of discipline incidents is in the 90th percentile of all Georgia schools.,1.516,99,Tutt Middle School's incidents per student rate is in the 99th percentile of all Georgia schools.
Richmond County – Laney High School,658,35,Laney High School's enrollment is in the 35th percentile of all Georgia schools.,301,45.7,99,Laney High School's percentage of students with discipline incidents is in the 99th percentile of all Georgia schools.,904,92,Laney High School's total number of discipline incidents is in the 92nd percentile of all Georgia schools.,1.374,98,Laney High School's incidents per student rate is in the 98th percentile of all Georgia schools.
Rockdale County – Peek's Chapel Elementary,790,52,Peek's Chapel Elementary's enrollment is in the 52nd percentile of all Georgia schools.,116,14.7,59,Peek's Chapel Elementary's percentage of students with discipline incidents is in the 59th percentile of all Georgia schools.,227,59,Peek's Chapel Elementary's total number of discipline incidents is in the 59th percentile of all Georgia schools.,0.287,56,Peek's Chapel Elementary's incidents per student rate is in the 56th percentile of all Georgia schools.
Rockdale County – General Ray Davis Middle School,1203,82,General Ray Davis Middle School's enrollment is in the 82nd percentile of all Georgia schools.,198,16.5,64,General Ray Davis Middle School's percentage of students with discipline incidents is in the 64th percentile of all Georgia schools.,408,74,General Ray Davis Middle School's total number of discipline incidents is in the 74th percentile of all Georgia schools.,0.339,63,General Ray Davis Middle School's incidents per student rate is in the 63rd percentile of all Georgia schools.
Rockdale County – Hicks Elementary School,1199,82,Hicks Elementary School's enrollment is in the 82nd percentile of all Georgia schools.,40,3.3,15,Hicks Elementary School's percentage of students with discipline incidents is in the 15th percentile of all Georgia schools.,57,24,Hicks Elementary School's total number of discipline incidents is in the 24th percentile of all Georgia schools.,0.048,11,Hicks Elementary School's incidents per student rate is in the 11th percentile of all Georgia schools.
Rockdale County – Honey Creek Elementary School,689,38,Honey Creek Elementary School's enrollment is in the 38th percentile of all Georgia schools.,31,4.5,23,Honey Creek Elementary School's percentage of students with discipline incidents is in the 23rd percentile of all Georgia schools.,51,21,Honey Creek Elementary School's total number of discipline incidents is in the 21st percentile of all Georgia schools.,0.074,21,Honey Creek Elementary School's incidents per student rate is in the 21st percentile of all Georgia schools.
