SYS_SCH,ENROLLMENT,ENROLLMENT_PCT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_PCT,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_PCT,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_PCT,INCIDENTS_PER_STUDENT_STATEMENT
Catoosa County – Ringgold Middle School,810,54,Ringgold Middle School's enrollment is in the 54th percentile of all Georgia schools.,68,8.4,40,Ringgold Middle School's percentage of students with discipline incidents is in the 40th percentile of all Georgia schools.,128,43,Ringgold Middle School's total number of discipline incidents is in the 43rd percentile of all Georgia schools.,0.158,40,Ringgold Middle School's incidents per student rate is in the 40th percentile of all Georgia schools.
Charlton County – Bethune Middle School,566,23,Bethune Middle School's enrollment is in the 23rd percentile of all Georgia schools.,164,29,89,Bethune Middle School's percentage of students with discipline incidents is in the 89th percentile of all Georgia schools.,444,77,Bethune Middle School's total number of discipline incidents is in the 77th percentile of all Georgia schools.,0.784,90,Bethune Middle School's incidents per student rate is in the 90th percentile of all Georgia schools.
Charlton County – Folkston Elementary School,613,28,Folkston Elementary School's enrollment is in the 28th percentile of all Georgia schools.,51,8.3,40,Folkston Elementary School's percentage of students with discipline incidents is in the 40th percentile of all Georgia schools.,92,35,Folkston Elementary School's total number of discipline incidents is in the 35th percentile of all Georgia schools.,0.15,38,Folkston Elementary School's incidents per student rate is in the 38th percentile of all Georgia schools.
Charlton County – Charlton County High School,462,12,Charlton County High School's enrollment is in the 12th percentile of all Georgia schools.,139,30.1,90,Charlton County High School's percentage of students with discipline incidents is in the 90th percentile of all Georgia schools.,432,76,Charlton County High School's total number of discipline incidents is in the 76th percentile of all Georgia schools.,0.935,93,Charlton County High School's incidents per student rate is in the 93rd percentile of all Georgia schools.
Charlton County – St. George Elementary School,185,2,St. George Elementary School's enrollment is in the 2nd percentile of all Georgia schools.,33,17.8,68,St. George Elementary School's percentage of students with discipline incidents is in the 68th percentile of all Georgia schools.,67,27,St. George Elementary School's total number of discipline incidents is in the 27th percentile of all Georgia schools.,0.362,65,St. George Elementary School's incidents per student rate is in the 65th percentile of all Georgia schools.
Chatham County – Johnson High School,865,61,Johnson High School's enrollment is in the 61st percentile of all Georgia schools.,222,25.7,84,Johnson High School's percentage of students with discipline incidents is in the 84th percentile of all Georgia schools.,370,72,Johnson High School's total number of discipline incidents is in the 72nd percentile of all Georgia schools.,0.428,71,Johnson High School's incidents per student rate is in the 71st percentile of all Georgia schools.
Chatham County – Coastal Empire Montessori Charter School,332,5,Coastal Empire Montessori Charter School's enrollment is in the 5th percentile of all Georgia schools.,13,3.9,19,Coastal Empire Montessori Charter School's percentage of students with discipline incidents is in the 19th percentile of all Georgia schools.,24,6,Coastal Empire Montessori Charter School's total number of discipline incidents is in the 6th percentile of all Georgia schools.,0.072,20,Coastal Empire Montessori Charter School's incidents per student rate is in the 20th percentile of all Georgia schools.
Chatham County – Woodville-Tompkins Technical and Career High School,599,27,Woodville-Tompkins Technical and Career High School's enrollment is in the 27th percentile of all Georgia schools.,30,5,25,Woodville-Tompkins Technical and Career High School's percentage of students with discipline incidents is in the 25th percentile of all Georgia schools.,43,17,Woodville-Tompkins Technical and Career High School's total number of discipline incidents is in the 17th percentile of all Georgia schools.,0.072,20,Woodville-Tompkins Technical and Career High School's incidents per student rate is in the 20th percentile of all Georgia schools.
Chatham County – Pulaski Elementary SChool,925,66,Pulaski Elementary SChool's enrollment is in the 66th percentile of all Georgia schools.,68,7.4,36,Pulaski Elementary SChool's percentage of students with discipline incidents is in the 36th percentile of all Georgia schools.,132,43,Pulaski Elementary SChool's total number of discipline incidents is in the 43rd percentile of all Georgia schools.,0.143,37,Pulaski Elementary SChool's incidents per student rate is in the 37th percentile of all Georgia schools.
Chatham County – New Hampstead High School,1461,90,New Hampstead High School's enrollment is in the 90th percentile of all Georgia schools.,296,20.3,74,New Hampstead High School's percentage of students with discipline incidents is in the 74th percentile of all Georgia schools.,597,84,New Hampstead High School's total number of discipline incidents is in the 84th percentile of all Georgia schools.,0.409,69,New Hampstead High School's incidents per student rate is in the 69th percentile of all Georgia schools.
